<TICKER>	<PER>	<DATE>	<TIME>	<CLOSE>	<VOL>		<TICKER>	<PER>	<DATE>	<TIME>	<CLOSE>	<VOL>		<TICKER>	<PER>	<DATE>	<TIME>	<CLOSE>	<VOL>
ГАЗПРОМ ао	W	05.01.2015	0	141,7	105633790		Распадская	W	05.01.2015	0	23,8	2602170		НЛМК ао	W	05.01.2015	0	67,9	8604960
ГАЗПРОМ ао	W	12.01.2015	0	149,6	161607980		Распадская	W	12.01.2015	0	24,67	6234470		НЛМК ао	W	12.01.2015	0	75,7	14960670
ГАЗПРОМ ао	W	19.01.2015	0	152,83	209210700		Распадская	W	19.01.2015	0	28,14	15475120		НЛМК ао	W	19.01.2015	0	79,505	17370100
ГАЗПРОМ ао	W	26.01.2015	0	143,82	175650360		Распадская	W	26.01.2015	0	30,07	17860060		НЛМК ао	W	26.01.2015	0	91,995	20177950
ГАЗПРОМ ао	W	02.02.2015	0	151,6	230456470		Распадская	W	02.02.2015	0	31,92	13076450		НЛМК ао	W	02.02.2015	0	91,045	11490360
ГАЗПРОМ ао	W	09.02.2015	0	162,4	306082960		Распадская	W	09.02.2015	0	31,7	9870240		НЛМК ао	W	09.02.2015	0	89,2	13258290
ГАЗПРОМ ао	W	16.02.2015	0	158	227540110		Распадская	W	16.02.2015	0	40,83	32689350		НЛМК ао	W	16.02.2015	0	85,9	10671020
ГАЗПРОМ ао	W	23.02.2015	0	152,95	155440810		Распадская	W	23.02.2015	0	44,8	21494250		НЛМК ао	W	23.02.2015	0	81,1	4897660
ГАЗПРОМ ао	W	02.03.2015	0	152,12	177869220		Распадская	W	02.03.2015	0	47,18	36067470		НЛМК ао	W	02.03.2015	0	81,6	15960740
ГАЗПРОМ ао	W	09.03.2015	0	141,8	132034810		Распадская	W	09.03.2015	0	42,78	20214910		НЛМК ао	W	09.03.2015	0	77,8	10030180
ГАЗПРОМ ао	W	16.03.2015	0	136	186482330		Распадская	W	16.03.2015	0	42	10117840		НЛМК ао	W	16.03.2015	0	78,015	9062120
ГАЗПРОМ ао	W	23.03.2015	0	134,88	160371140		Распадская	W	23.03.2015	0	37,96	10530110		НЛМК ао	W	23.03.2015	0	73,11	17372630
ГАЗПРОМ ао	W	30.03.2015	0	143,94	161855520		Распадская	W	30.03.2015	0	42,05	11380270		НЛМК ао	W	30.03.2015	0	77,83	15095530
ГАЗПРОМ ао	W	06.04.2015	0	148	215736110		Распадская	W	06.04.2015	0	39,06	6860370		НЛМК ао	W	06.04.2015	0	69,87	12851550
ГАЗПРОМ ао	W	13.04.2015	0	149,3	213684470		Распадская	W	13.04.2015	0	38,79	6538650		НЛМК ао	W	13.04.2015	0	68	21912140
ГАЗПРОМ ао	W	20.04.2015	0	153,89	182761410		Распадская	W	20.04.2015	0	37,49	6822470		НЛМК ао	W	20.04.2015	0	67,54	23562950
ГАЗПРОМ ао	W	27.04.2015	0	153,5	108797740		Распадская	W	27.04.2015	0	36,75	3307820		НЛМК ао	W	27.04.2015	0	68,28	7887880
ГАЗПРОМ ао	W	04.05.2015	0	155,52	114940340		Распадская	W	04.05.2015	0	36,67	2530230		НЛМК ао	W	04.05.2015	0	69	11187980
ГАЗПРОМ ао	W	11.05.2015	0	152,98	99020960		Распадская	W	11.05.2015	0	37,32	4425220		НЛМК ао	W	11.05.2015	0	72,1	13766440
ГАЗПРОМ ао	W	18.05.2015	0	148,8	108641280		Распадская	W	18.05.2015	0	38,58	6764420		НЛМК ао	W	18.05.2015	0	73,67	13312800
ГАЗПРОМ ао	W	25.05.2015	0	139	149488900		Распадская	W	25.05.2015	0	37,98	6180260		НЛМК ао	W	25.05.2015	0	73	13578660
ГАЗПРОМ ао	W	01.06.2015	0	142,4	163223060		Распадская	W	01.06.2015	0	36,46	6756220		НЛМК ао	W	01.06.2015	0	75,2	13021890
ГАЗПРОМ ао	W	08.06.2015	0	145,4	94532710		Распадская	W	08.06.2015	0	36,25	4395500		НЛМК ао	W	08.06.2015	0	72,8	10810150
ГАЗПРОМ ао	W	15.06.2015	0	147,15	131332840		Распадская	W	15.06.2015	0	36,68	3646900		НЛМК ао	W	15.06.2015	0	73,45	10860380
ГАЗПРОМ ао	W	22.06.2015	0	145,18	101902760		Распадская	W	22.06.2015	0	36,1	3170870		НЛМК ао	W	22.06.2015	0	74,2	15236920
ГАЗПРОМ ао	W	29.06.2015	0	144,33	85921490		Распадская	W	29.06.2015	0	35,5	2135150		НЛМК ао	W	29.06.2015	0	74,5	7654970
ГАЗПРОМ ао	W	06.07.2015	0	143,9	119167770		Распадская	W	06.07.2015	0	33,52	5101430		НЛМК ао	W	06.07.2015	0	76,45	13738320
ГАЗПРОМ ао	W	13.07.2015	0	143,6	116268580		Распадская	W	13.07.2015	0	36,53	8419080		НЛМК ао	W	13.07.2015	0	76,58	13326780
ГАЗПРОМ ао	W	20.07.2015	0	136,41	121575910		Распадская	W	20.07.2015	0	34,63	4286800		НЛМК ао	W	20.07.2015	0	77,9	9022450
ГАЗПРОМ ао	W	27.07.2015	0	142,5	142995750		Распадская	W	27.07.2015	0	36,3	3588570		НЛМК ао	W	27.07.2015	0	79,22	12515510
ГАЗПРОМ ао	W	03.08.2015	0	141,34	135452100		Распадская	W	03.08.2015	0	38,17	7131230		НЛМК ао	W	03.08.2015	0	79,94	11236670
ГАЗПРОМ ао	W	10.08.2015	0	144,8	151224120		Распадская	W	10.08.2015	0	39,39	5374540		НЛМК ао	W	10.08.2015	0	84,62	10593190
ГАЗПРОМ ао	W	17.08.2015	0	140,29	137224310		Распадская	W	17.08.2015	0	38,1	6383980		НЛМК ао	W	17.08.2015	0	83,67	8009960
ГАЗПРОМ ао	W	24.08.2015	0	146,6	201483630		Распадская	W	24.08.2015	0	38,5	6767270		НЛМК ао	W	24.08.2015	0	78,62	14509500
ГАЗПРОМ ао	W	31.08.2015	0	142,8	151908260		Распадская	W	31.08.2015	0	40,97	9892750		НЛМК ао	W	31.08.2015	0	77,3	10609200
ГАЗПРОМ ао	W	07.09.2015	0	142,4	111544570		Распадская	W	07.09.2015	0	40,29	6551200		НЛМК ао	W	07.09.2015	0	79,95	10503940
ГАЗПРОМ ао	W	14.09.2015	0	139,5	130926690		Распадская	W	14.09.2015	0	38,33	6443730		НЛМК ао	W	14.09.2015	0	82,31	7345440
ГАЗПРОМ ао	W	21.09.2015	0	133,85	175994680		Распадская	W	21.09.2015	0	37,6	8733600		НЛМК ао	W	21.09.2015	0	74,14	12708250
