<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
ФСК ЕЭС ао;W;04/01/16;000000;0,06075;2822030000
ФСК ЕЭС ао;W;11/01/16;000000;0,05499;5250790000
ФСК ЕЭС ао;W;18/01/16;000000;0,0578;4284330000
ФСК ЕЭС ао;W;25/01/16;000000;0,0585;3945450000
ФСК ЕЭС ао;W;01/02/16;000000;0,0614;6537640000
ФСК ЕЭС ао;W;08/02/16;000000;0,06204;4438150000
ФСК ЕЭС ао;W;15/02/16;000000;0,0623;5866710000
ФСК ЕЭС ао;W;22/02/16;000000;0,06581;9427750000
ФСК ЕЭС ао;W;29/02/16;000000;0,06789;7579260000
ФСК ЕЭС ао;W;07/03/16;000000;0,06823;4808940000
ФСК ЕЭС ао;W;14/03/16;000000;0,0765;15549800000
ФСК ЕЭС ао;W;21/03/16;000000;0,08298;15205250000
ФСК ЕЭС ао;W;28/03/16;000000;0,0848;9337670000
ФСК ЕЭС ао;W;04/04/16;000000;0,09495;24702670000
ФСК ЕЭС ао;W;11/04/16;000000;0,08777;14059670000
ФСК ЕЭС ао;W;18/04/16;000000;0,09623;18887290000
ФСК ЕЭС ао;W;25/04/16;000000;0,10045;14303100000
ФСК ЕЭС ао;W;02/05/16;000000;0,10696;13578280000
ФСК ЕЭС ао;W;09/05/16;000000;0,11;10136090000
ФСК ЕЭС ао;W;16/05/16;000000;0,112;12575940000
ФСК ЕЭС ао;W;23/05/16;000000;0,12327;33093910000
ФСК ЕЭС ао;W;30/05/16;000000;0,139;30352440000
ФСК ЕЭС ао;W;06/06/16;000000;0,12299;30779530000
ФСК ЕЭС ао;W;13/06/16;000000;0,14029;24931820000
ФСК ЕЭС ао;W;20/06/16;000000;0,14315;12558700000
ФСК ЕЭС ао;W;27/06/16;000000;0,15815;24770790000
ФСК ЕЭС ао;W;04/07/16;000000;0,15548;20576200000
ФСК ЕЭС ао;W;11/07/16;000000;0,14549;26106660000
ФСК ЕЭС ао;W;18/07/16;000000;0,154;12376150000
ФСК ЕЭС ао;W;25/07/16;000000;0,16099;15044170000
ФСК ЕЭС ао;W;01/08/16;000000;0,15396;10021190000
ФСК ЕЭС ао;W;08/08/16;000000;0,15454;12180680000
ФСК ЕЭС ао;W;15/08/16;000000;0,15451;5250210000
ФСК ЕЭС ао;W;22/08/16;000000;0,1681;17210810000
ФСК ЕЭС ао;W;29/08/16;000000;0,1722;13209370000
ФСК ЕЭС ао;W;05/09/16;000000;0,17989;14008800000
ФСК ЕЭС ао;W;12/09/16;000000;0,16172;11589250000
ФСК ЕЭС ао;W;19/09/16;000000;0,176;11756200000
ФСК ЕЭС ао;W;26/09/16;000000;0,17849;8452110000
ФСК ЕЭС ао;W;03/10/16;000000;0,17079;6812800000
ФСК ЕЭС ао;W;10/10/16;000000;0,16424;5126750000
ФСК ЕЭС ао;W;17/10/16;000000;0,1652;5012660000
ФСК ЕЭС ао;W;24/10/16;000000;0,169;6836020000
ФСК ЕЭС ао;W;31/10/16;000000;0,1655;5130710000
ФСК ЕЭС ао;W;07/11/16;000000;0,16535;7767680000
ФСК ЕЭС ао;W;14/11/16;000000;0,17989;17761460000
ФСК ЕЭС ао;W;21/11/16;000000;0,18872;9036030000
ФСК ЕЭС ао;W;28/11/16;000000;0,1931;16265800000
ФСК ЕЭС ао;W;05/12/16;000000;0,20381;12311130000
ФСК ЕЭС ао;W;12/12/16;000000;0,20273;15237370000
ФСК ЕЭС ао;W;19/12/16;000000;0,19232;9984580000
ФСК ЕЭС ао;W;26/12/16;000000;0,2032;8250100000
ФСК ЕЭС ао;W;02/01/17;000000;0,2059;4555110000
ФСК ЕЭС ао;W;09/01/17;000000;0,20444;9526600000
ФСК ЕЭС ао;W;16/01/17;000000;0,21026;17869960000
ФСК ЕЭС ао;W;23/01/17;000000;0,231;12472590000
ФСК ЕЭС ао;W;30/01/17;000000;0,2483;13658040000
ФСК ЕЭС ао;W;06/02/17;000000;0,255;15084420000
ФСК ЕЭС ао;W;13/02/17;000000;0,252;9361450000
ФСК ЕЭС ао;W;20/02/17;000000;0,22595;16757430000
ФСК ЕЭС ао;W;27/02/17;000000;0,2105;44259540000
ФСК ЕЭС ао;W;06/03/17;000000;0,17475;56436050000
ФСК ЕЭС ао;W;13/03/17;000000;0,19055;32206760000
ФСК ЕЭС ао;W;20/03/17;000000;0,1904;41663180000
ФСК ЕЭС ао;W;27/03/17;000000;0,1791;38639370000
ФСК ЕЭС ао;W;03/04/17;000000;0,17795;27100200000
