<TICKER>;<DATE>;<CLOSE>;;<TICKER>;<DATE>;<CLOSE>;;<TICKER>;<DATE>;<CLOSE>;;<TICKER>;<DATE>;<CLOSE>
US1.INTC;01.01.2019;47,11;;US1.NVDA;01.01.2019;143,7;;GDAX.BTC-USD;01.01.2019;3411,5;;US1.TSM;01.01.2019;37,63
US1.INTC;01.02.2019;52,98;;US1.NVDA;01.02.2019;154,32;;GDAX.BTC-USD;01.02.2019;3792,14;;US1.TSM;01.02.2019;39,095
US1.INTC;01.03.2019;53,7;;US1.NVDA;01.03.2019;179,56;;GDAX.BTC-USD;01.03.2019;4094,99;;US1.TSM;01.03.2019;40,96
US1.INTC;01.04.2019;51,03;;US1.NVDA;01.04.2019;181,07;;GDAX.BTC-USD;01.04.2019;5270,69;;US1.TSM;01.04.2019;43,83
US1.INTC;01.05.2019;44,03;;US1.NVDA;01.05.2019;135,44;;GDAX.BTC-USD;01.05.2019;8554,06;;US1.TSM;01.05.2019;38,76
US1.INTC;01.06.2019;47,89;;US1.NVDA;01.06.2019;164,22;;GDAX.BTC-USD;01.06.2019;10761,26;;US1.TSM;01.06.2019;39,36
US1.INTC;01.07.2019;50,6;;US1.NVDA;01.07.2019;168,69;;GDAX.BTC-USD;01.07.2019;10087,3;;US1.TSM;01.07.2019;43,025
US1.INTC;01.08.2019;47,41;;US1.NVDA;01.08.2019;167,54;;GDAX.BTC-USD;01.08.2019;9600,86;;US1.TSM;01.08.2019;42,49
US1.INTC;01.09.2019;51,525;;US1.NVDA;01.09.2019;174,06;;GDAX.BTC-USD;01.09.2019;8304,96;;US1.TSM;01.09.2019;46,43
US1.INTC;01.10.2019;56,58;;US1.NVDA;01.10.2019;201,04;;GDAX.BTC-USD;01.10.2019;9159,48;;US1.TSM;01.10.2019;51,47
US1.INTC;01.11.2019;58,07;;US1.NVDA;01.11.2019;216,74;;GDAX.BTC-USD;01.11.2019;7555,92;;US1.TSM;01.11.2019;53,11
US1.INTC;01.12.2019;59,84;;US1.NVDA;01.12.2019;235,29;;GDAX.BTC-USD;01.12.2019;7165,72;;US1.TSM;01.12.2019;58,11
US1.INTC;01.01.2020;63,9;;US1.NVDA;01.01.2020;236,43;;GDAX.BTC-USD;01.01.2020;9334,98;;US1.TSM;01.01.2020;53,95
US1.INTC;01.02.2020;55,52;;US1.NVDA;01.02.2020;270,08;;GDAX.BTC-USD;01.02.2020;8525,07;;US1.TSM;01.02.2020;53,81
US1.INTC;01.03.2020;54,12;;US1.NVDA;01.03.2020;263,58;;GDAX.BTC-USD;01.03.2020;6424,35;;US1.TSM;01.03.2020;47,79
US1.INTC;01.04.2020;59,95;;US1.NVDA;01.04.2020;292,05;;GDAX.BTC-USD;01.04.2020;8624,28;;US1.TSM;01.04.2020;53,12
US1.INTC;01.05.2020;62,83;;US1.NVDA;01.05.2020;353,65;;GDAX.BTC-USD;01.05.2020;9446,57;;US1.TSM;01.05.2020;50,33
US1.INTC;01.06.2020;59,82;;US1.NVDA;01.06.2020;379,31;;GDAX.BTC-USD;01.06.2020;9136,2;;US1.TSM;01.06.2020;56,76
US1.INTC;01.07.2020;47,72;;US1.NVDA;01.07.2020;424,58;;GDAX.BTC-USD;01.07.2020;11351,62;;US1.TSM;01.07.2020;78,9
US1.INTC;01.08.2020;50,93;;US1.NVDA;01.08.2020;535;;GDAX.BTC-USD;01.08.2020;11655;;US1.TSM;01.08.2020;79,26
US1.INTC;01.09.2020;51,77;;US1.NVDA;01.09.2020;540,81;;GDAX.BTC-USD;01.09.2020;10779,63;;US1.TSM;01.09.2020;81,05
US1.INTC;01.10.2020;44,3;;US1.NVDA;01.10.2020;502,06;;GDAX.BTC-USD;01.10.2020;13804,81;;US1.TSM;01.10.2020;83,87
US1.INTC;01.11.2020;48,46;;US1.NVDA;01.11.2020;536,4;;GDAX.BTC-USD;01.11.2020;19713,94;;US1.TSM;01.11.2020;97,02
US1.INTC;01.12.2020;49,82;;US1.NVDA;01.12.2020;522,07;;GDAX.BTC-USD;01.12.2020;28990,08;;US1.TSM;01.12.2020;109,09
US1.INTC;01.01.2021;55,49;;US1.NVDA;01.01.2021;518,87;;GDAX.BTC-USD;01.01.2021;33137,74;;US1.TSM;01.01.2021;121,46
US1.INTC;01.02.2021;60,69;;US1.NVDA;01.02.2021;548,81;;GDAX.BTC-USD;01.02.2021;45231,75;;US1.TSM;01.02.2021;126,17
US1.INTC;01.03.2021;64,03;;US1.NVDA;01.03.2021;534,11;;GDAX.BTC-USD;01.03.2021;58800;;US1.TSM;01.03.2021;118,27
US1.INTC;01.04.2021;57,53;;US1.NVDA;01.04.2021;600,37;;GDAX.BTC-USD;01.04.2021;57798,77;;US1.TSM;01.04.2021;116,67
US1.INTC;01.05.2021;57,11;;US1.NVDA;01.05.2021;649,81;;GDAX.BTC-USD;01.05.2021;37279,31;;US1.TSM;01.05.2021;117,32
US1.INTC;01.06.2021;56,13;;US1.NVDA;01.06.2021;800,64;;GDAX.BTC-USD;01.06.2021;35060;;US1.TSM;01.06.2021;120,12
;;;;;;;;;;;;;;
intel;;;;nvidia;;;;bitcoin;;;;tsmc;;
