datetime;season;holiday;workingday;weather;temp;atemp;humidity;windspeed;casual;registered;count;Порядковый номер;;;
01.01.2011 04:00;1;0;0;1;9,84;14,395;75;0;0;1;1;5;;;
01.01.2011 05:00;1;0;0;2;9,84;12,88;75;6,0032;0;1;1;6;;Ср знач;191,5741319
02.01.2011 07:00;1;0;0;2;16,4;20,455;76;12,998;0;1;1;31;;Медиана;145
03.01.2011 04:00;1;0;1;1;6,56;6,82;47;26,0027;0;1;1;50;;Мода;5
04.01.2011 02:00;1;0;1;1;5,74;7,575;63;8,9981;0;1;1;72;;Кол-во знач;10886
06.01.2011 04:00;1;0;1;2;6,56;9,85;64;6,0032;0;1;1;119;;Q1;42
07.01.2011 02:00;1;0;1;2;8,2;9,85;69;15,0013;0;1;1;141;;Q3;284
07.01.2011 04:00;1;0;1;2;8,2;10,605;69;8,9981;0;1;1;142;;IQR;242
08.01.2011 04:00;1;0;0;3;7,38;9,85;55;11,0014;0;1;1;166;;Q1 pos;2721,5
09.01.2011 04:00;1;0;0;1;3,28;4,545;53;12,998;0;1;1;190;;Q3 pos;8164,5
09.01.2011 05:00;1;0;0;1;3,28;4,545;53;12,998;0;1;1;191;;Сигма;181,1444538
09.01.2011 06:00;1;0;0;1;4,1;4,545;49;19,0012;0;1;1;192;;;
10.01.2011 01:00;1;0;1;1;4,92;6,06;50;19,0012;1;0;1;211;;;
10.01.2011 03:00;1;0;1;1;4,92;6,06;50;15,0013;0;1;1;213;;;
12.01.2011 02:00;1;0;1;1;5,74;7,575;86;8,9981;0;1;1;258;;;
14.01.2011 02:00;1;0;1;1;4,1;6,06;54;8,9981;0;1;1;304;;;
14.01.2011 03:00;1;0;1;1;4,1;6,82;54;7,0015;0;1;1;305;;;
15.01.2011 05:00;1;0;0;1;6,56;11,365;59;0;0;1;1;330;;;
16.01.2011 04:00;1;0;0;1;10,66;12,88;56;11,0014;0;1;1;353;;;
16.01.2011 06:00;1;0;0;2;10,66;12,88;56;11,0014;0;1;1;355;;;
17.01.2011 05:00;1;1;0;2;7,38;9,85;43;11,0014;0;1;1;378;;;
02.02.2011 03:00;1;0;1;3;9,02;11,365;93;8,9981;0;1;1;458;;;
02.02.2011 04:00;1;0;1;3;9,02;10,605;93;19,0012;0;1;1;459;;;
03.02.2011 03:00;1;0;1;1;7,38;8,335;43;16,9979;0;1;1;482;;;
04.02.2011 02:00;1;0;1;2;5,74;8,335;63;7,0015;0;1;1;504;;;
04.02.2011 03:00;1;0;1;2;5,74;8,335;63;7,0015;0;1;1;505;;;
06.02.2011 05:00;1;0;0;1;10,66;12,88;60;15,0013;0;1;1;554;;;
06.02.2011 06:00;1;0;0;1;10,66;12,88;60;15,0013;0;1;1;555;;;
07.02.2011 03:00;1;0;1;1;8,2;12,88;86;0;0;1;1;576;;;
08.02.2011 03:00;1;0;1;3;11,48;13,635;93;11,0014;0;1;1;600;;;
10.02.2011 04:00;1;0;1;2;5,74;6,82;59;15,0013;0;1;1;647;;;
12.02.2011 05:00;1;0;0;1;4,92;8,335;74;6,0032;0;1;1;694;;;
15.02.2011 04:00;1;0;1;1;9,02;9,09;37;35,0008;0;1;1;763;;;
16.02.2011 03:00;1;0;1;2;8,2;9,85;47;12,998;0;1;1;785;;;
16.02.2011 04:00;1;0;1;1;8,2;9,85;51;12,998;0;1;1;786;;;
18.02.2011 04:00;1;0;1;1;18,86;22,725;67;16,9979;0;1;1;834;;;
01.03.2011 04:00;1;0;1;1;9,02;10,605;69;16,9979;0;1;1;882;;;
02.03.2011 04:00;1;0;1;1;8,2;10,605;75;8,9981;1;0;1;906;;;
03.03.2011 01:00;1;0;1;1;9,84;9,85;30;31,0009;0;1;1;927;;;
03.03.2011 03:00;1;0;1;1;8,2;8,335;27;31,0009;0;1;1;929;;;
03.03.2011 04:00;1;0;1;1;6,56;6,06;31;32,9975;0;1;1;930;;;
04.03.2011 03:00;1;0;1;2;7,38;8,335;74;16,9979;0;1;1;953;;;
04.03.2011 04:00;1;0;1;2;7,38;9,09;74;12,998;1;0;1;954;;;
05.03.2011 04:00;1;0;0;2;12,3;15,15;93;11,0014;0;1;1;978;;;
07.03.2011 03:00;1;0;1;1;8,2;7,575;80;39,0007;0;1;1;1023;;;
07.03.2011 04:00;1;0;1;1;8,2;7,575;80;35,0008;1;0;1;1024;;;
07.03.2011 05:00;1;0;1;1;8,2;9,09;75;23,9994;0;1;1;1025;;;
08.03.2011 02:00;1;0;1;1;9,84;12,12;52;8,9981;1;0;1;1046;;;
10.03.2011 02:00;1;0;1;3;13,94;15,91;0;16,9979;0;1;1;1094;;;
12.03.2011 04:00;1;0;0;1;9,84;11,365;65;16,9979;0;1;1;1141;;;
14.03.2011 01:00;1;0;1;1;10,66;14,395;65;6,0032;0;1;1;1185;;;
14.03.2011 02:00;1;0;1;1;10,66;14,395;65;6,0032;0;1;1;1186;;;
16.03.2011 04:00;1;0;1;2;12,3;15,15;93;11,0014;0;1;1;1233;;;
04.04.2011 03:00;2;0;1;1;15,58;19,695;66;19,0012;1;0;1;1399;;;
06.04.2011 04:00;2;0;1;1;9,84;12,12;65;8,9981;0;1;1;1448;;;
07.04.2011 04:00;2;0;1;1;13,94;16,665;76;12,998;0;1;1;1472;;;
08.04.2011 03:00;2;0;1;3;13,94;16,665;76;11,0014;0;1;1;1495;;;
08.04.2011 04:00;2;0;1;2;13,94;16,665;86;8,9981;0;1;1;1496;;;
11.04.2011 04:00;2;0;1;1;18,86;22,725;94;12,998;0;1;1;1567;;;
12.04.2011 03:00;2;0;1;2;23,78;27,275;56;8,9981;0;1;1;1590;;;
13.04.2011 01:00;2;0;1;2;16,4;20,455;100;19,9995;0;1;1;1612;;;
04.05.2011 03:00;2;0;1;3;17,22;21,21;88;35,0008;0;1;1;1854;;;
06.05.2011 04:00;2;0;1;1;14,76;18,18;71;7,0015;0;1;1;1903;;;
15.06.2011 03:00;2;0;1;1;20,5;24,24;68;16,9979;0;1;1;2574;;;
03.07.2011 05:00;3;0;0;3;25,42;28,79;83;12,998;0;1;1;2744;;;
08.08.2011 03:00;3;0;1;1;27,06;29,545;89;0;1;0;1;3318;;;
06.09.2011 03:00;3;0;1;3;22,14;25,76;94;19,9995;1;0;1;3725;;;
18.09.2011 04:00;3;0;0;1;18,04;21,97;77;15,0013;1;0;1;4012;;;
18.10.2011 03:00;4;0;1;1;18,04;21,97;94;6,0032;0;1;1;4467;;;
08.11.2011 02:00;4;0;1;1;13,12;17,425;87;0;0;1;1;4681;;;
01.12.2011 04:00;4;0;1;1;10,66;12,12;56;19,0012;0;1;1;4971;;;
